regime,case,method,action,net_utility,regret,outcome_lower_tail_mean,severe_loss_probability,worst_group_expected_score,predicted_net_utility,latent_brier,false_low_risk,baseline,cost,steps,planner_nodes
matched,0,stop,mechanism_repair,-0.1884601903550822,16.409660189110568,-16.71165061461931,0.01,-5.846807110413686,4.74689363109968,1.1347921649891242,0,0,0.0,0,0
matched,0,fixed,mechanism_repair,-5.547958329010752,21.769158327766235,-16.71165061461931,0.01,-5.846807110413686,4.529893462687387,0.7186023937529435,0,0,5.35949813865567,2,0
matched,0,random,source_repair,-2.4242199746219755,18.64541997337746,-15.80340873339,0.01,-4.722857782392414,7.20369505144566,0.7436715568951592,0,0,3.359709112288165,2,0
matched,0,entropy,source_repair,-2.232889726059272,18.454089724814757,-15.80340873339,0.01,-4.722857782392414,1.373588357529889,0.2739632640633163,0,0,3.1683788637254615,2,0
matched,0,myopic,source_repair,0.35119421898721137,15.870005779768272,-15.80340873339,0.01,-4.722857782392414,12.364852338436304,1.157889756066533,0,0,0.5842949186789783,1,2
matched,0,sequential,source_repair,0.35119421898721137,15.870005779768272,-15.80340873339,0.01,-4.722857782392414,12.364852338436304,1.157889756066533,0,0,0.5842949186789783,1,8
matched,1,stop,source_repair,18.350316118724976,0.0,-2.1406569237592077,0.01,2.0708528936366233,9.047050237938336,0.39411963104072106,0,0,0.0,0,0
matched,1,fixed,source_repair,13.610296455667172,4.740019663057804,-2.1406569237592077,0.01,2.0708528936366233,9.720558264363671,0.09135411727431232,0,0,4.7400196630578035,2,0
matched,1,random,general,-23.016103352293904,41.36641947101888,-88.41843815527153,0.3,-25.129450844129806,4.864564972978741,1.2669939786816315,0,0,4.55293738487075,2,0
matched,1,entropy,source_repair,13.610296455667172,4.740019663057804,-2.1406569237592077,0.01,2.0708528936366233,9.720558264363667,0.0913541172743124,0,0,4.7400196630578035,2,0
matched,1,myopic,source_repair,15.746125377046244,2.6041907416787318,-2.1406569237592077,0.01,2.0708528936366233,14.596630593483624,0.0060168780756675614,0,0,2.6041907416787313,1,2
matched,1,sequential,source_repair,15.746125377046244,2.6041907416787318,-2.1406569237592077,0.01,2.0708528936366233,14.596630593483624,0.0060168780756675614,0,0,2.6041907416787313,1,8
matched,2,stop,mechanism_repair,21.397461311206825,0.0,-1.2182162767618654,0.01,1.0024904777519508,6.715657034057106,0.5010511701221808,0,0,0.0,0,0
matched,2,fixed,mechanism_repair,18.100976519868954,3.296484791337871,-1.2182162767618654,0.01,1.0024904777519508,13.699697572792289,0.04648294673201017,0,0,3.2964847913378708,2,0
matched,2,random,general,-14.148540628828712,35.54600194003554,-96.44212191031426,0.2,-17.258063920793084,5.58617423235443,1.0111511988853357,0,0,1.7633418150830922,2,0
matched,2,entropy,general,-14.148540628828712,35.54600194003554,-96.44212191031426,0.2,-17.258063920793084,5.586174232354429,1.0111511988853354,0,0,1.7633418150830922,2,0
matched,2,myopic,mechanism_repair,18.100976519868954,3.296484791337871,-1.2182162767618654,0.01,1.0024904777519508,13.699697572792289,0.04648294673201017,0,0,3.2964847913378708,2,2
matched,2,sequential,mechanism_repair,18.100976519868954,3.296484791337871,-1.2182162767618654,0.01,1.0024904777519508,13.699697572792289,0.04648294673201017,0,0,3.2964847913378708,2,8
matched,3,stop,mechanism_repair,18.124995011742335,0.0,-1.0319057769702678,0.01,0.849172462298449,4.37205277862518,0.5533003452073044,0,0,0.0,0,0
matched,3,fixed,mechanism_repair,13.05158317189551,5.073411839846825,-1.0319057769702678,0.01,0.849172462298449,10.2970532950991,0.023070693630121163,0,0,5.073411839846825,2,0
